ID	cluster_DMM_4	cluster_DMM_4_lab
3932_SG21R8_pl2A04_concatd	C1	Bacteroides 1
3932_SG21R8_pl2A05d	C1	Bacteroides 1
3932_SG21R8_pl2A06_concatd	C1	Bacteroides 1
3932_SG21R8_pl2A07_concatd	C1	Bacteroides 1
3932_SG21R8_pl2A08d	C1	Bacteroides 1
3932_SG21R8_pl2A09_concatd	C1	Bacteroides 1
3932_SG21R8_pl2A10_concatd	C1	Bacteroides 1
3932_SG21R8_pl2A11d	C1	Bacteroides 1
3932_SG21R8_pl2A12d	C1	Bacteroides 1
3932_SG21R8_pl2B01_concatd	C1	Bacteroides 1
3932_SG21R8_pl2B03d	C1	Bacteroides 1
3932_SG21R8_pl2B04_concatd	C1	Bacteroides 1
3932_SG21R8_pl2B05d	C1	Bacteroides 1
3932_SG21R8_pl2B06_concatd	C1	Bacteroides 1
3932_SG21R8_pl2B07_concatd	C1	Bacteroides 1
3932_SG21R8_pl2B08_concatd	C1	Bacteroides 1
3932_SG21R8_pl2B09_concatd	C1	Bacteroides 1
3932_SG21R8_pl2B10d	C1	Bacteroides 1
3932_SG21R8_pl2B12_concatd	C1	Bacteroides 1
3932_SG21R8_pl2C01_concatd	C1	Bacteroides 1
3932_SG21R8_pl2C03_concatd	C1	Bacteroides 1
3932_SG21R8_pl2C04_concatd	C1	Bacteroides 1
3932_SG21R8_pl2C05_concatd	C1	Bacteroides 1
3932_SG21R8_pl2C06_concatd	C1	Bacteroides 1
3932_SG21R8_pl2C07_concatd	C1	Bacteroides 1
3932_SG21R8_pl2C10d	C1	Bacteroides 1
3932_SG21R8_pl2C11d	C1	Bacteroides 1
3932_SG21R8_pl2C12d	C1	Bacteroides 1
3932_SG21R8_pl2D01d	C1	Bacteroides 1
3932_SG21R8_pl2D03_concatd	C1	Bacteroides 1
3932_SG21R8_pl2D04_concatd	C1	Bacteroides 1
3932_SG21R8_pl2D05_concatd	C1	Bacteroides 1
3932_SG21R8_pl2D06_concatd	C1	Bacteroides 1
3932_SG21R8_pl2D07_concatd	C1	Bacteroides 1
3932_SG21R8_pl2D08_concatd	C1	Bacteroides 1
3932_SG21R8_pl2D09_concatd	C1	Bacteroides 1
3932_SG21R8_pl2D10d	C1	Bacteroides 1
3932_SG21R8_pl2D11_concatd	C1	Bacteroides 1
3932_SG21R8_pl2D12d	C1	Bacteroides 1
3932_SG21R8_pl2E01d	C1	Bacteroides 1
3932_SG21R8_pl2E02_concatd	C1	Bacteroides 1
3932_SG21R8_pl2E05_concatd	C1	Bacteroides 1
3932_SG21R8_pl2E06d	C1	Bacteroides 1
3932_SG21R8_pl2E07d	C1	Bacteroides 1
3932_SG21R8_pl2E08_concatd	C1	Bacteroides 1
3932_SG21R8_pl2E09d	C1	Bacteroides 1
3932_SG21R8_pl2E10d	C1	Bacteroides 1
3932_SG21R8_pl2E11d	C1	Bacteroides 1
3932_SG21R8_pl2E12d	C1	Bacteroides 1
3932_SG21R8_pl2F01_concatd	C1	Bacteroides 1
3932_SG21R8_pl2F02d	C1	Bacteroides 1
3932_SG21R8_pl2F03d	C1	Bacteroides 1
3932_SG21R8_pl2F04d	C1	Bacteroides 1
3932_SG21R8_pl2F05d	C1	Bacteroides 1
3932_SG21R8_pl2F06_concatd	C1	Bacteroides 1
3932_SG21R8_pl2F07d	C1	Bacteroides 1
3932_SG21R8_pl2F08_concatd	C1	Bacteroides 1
3932_SG21R8_pl2F10_concatd	C1	Bacteroides 1
3932_SG21R8_pl2F11d	C1	Bacteroides 1
3932_SG21R8_pl2F12d	C1	Bacteroides 1
3932_SG21R8_pl2G01_concatd	C1	Bacteroides 1
3932_SG21R8_pl2G03d	C1	Bacteroides 1
3932_SG21R8_pl2G04d	C1	Bacteroides 1
3932_SG21R8_pl2G05d	C1	Bacteroides 1
3932_SG21R8_pl2G06_concatd	C1	Bacteroides 1
3932_SG21R8_pl2G07_concatd	C1	Bacteroides 1
3932_SG21R8_pl2G09_concatd	C1	Bacteroides 1
3932_SG21R8_pl2G10d	C1	Bacteroides 1
3932_SG21R8_pl2G11d	C1	Bacteroides 1
3932_SG21R8_pl2G12_concatd	C1	Bacteroides 1
3932_SG21R8_pl2H01d	C1	Bacteroides 1
3932_SG21R8_pl2H02d	C1	Bacteroides 1
3932_SG21R8_pl2H04d	C1	Bacteroides 1
3932_SG21R8_pl2H05d	C1	Bacteroides 1
3932_SG21R8_pl2H07_concatd	C1	Bacteroides 1
3932_SG21R8_pl2H08d	C1	Bacteroides 1
3932_SG21R8_pl2H09_concatd	C1	Bacteroides 1
3932_SG21R8_pl2H10d	C1	Bacteroides 1
3932_SG21R8_pl2H11d	C1	Bacteroides 1
3932_SG21R8_pl3A01_concatd	C1	Bacteroides 1
3932_SG21R8_pl3A02_concatd	C1	Bacteroides 1
3932_SG21R8_pl3A03_concatd	C1	Bacteroides 1
3932_SG21R8_pl3A04d	C1	Bacteroides 1
3932_SG21R8_pl3A05d	C1	Bacteroides 1
3932_SG21R8_pl3A06_concatd	C1	Bacteroides 1
3932_SG21R8_pl3A07d	C1	Bacteroides 1
3932_SG21R8_pl3A08d	C1	Bacteroides 1
3932_SG21R8_pl3A09d	C1	Bacteroides 1
3932_SG21R8_pl3A10d	C1	Bacteroides 1
3932_SG21R8_pl3A11d	C1	Bacteroides 1
3932_SG21R8_pl3A12d	C1	Bacteroides 1
3932_SG21R8_pl3B01_concatd	C1	Bacteroides 1
3932_SG21R8_pl3B02_concatd	C1	Bacteroides 1
3932_SG21R8_pl3B03d	C1	Bacteroides 1
3932_SG21R8_pl3B04d	C1	Bacteroides 1
3932_SG21R8_pl3B05_concatd	C1	Bacteroides 1
3932_SG21R8_pl3B07d	C1	Bacteroides 1
3932_SG21R8_pl3B08_concatd	C1	Bacteroides 1
3932_SG21R8_pl3B09d	C1	Bacteroides 1
3932_SG21R8_pl3B10_concatd	C1	Bacteroides 1
3932_SG21R8_pl3B11_concatd	C1	Bacteroides 1
3932_SG21R8_pl3B12_concatd	C1	Bacteroides 1
3932_SG21R8_pl3C01d	C1	Bacteroides 1
3932_SG21R8_pl3C02d	C1	Bacteroides 1
3932_SG21R8_pl3C03d	C1	Bacteroides 1
3932_SG21R8_pl3C04_concatd	C1	Bacteroides 1
3932_SG21R8_pl3C05_concatd	C1	Bacteroides 1
3932_SG21R8_pl3C06d	C1	Bacteroides 1
3932_SG21R8_pl3C07_concatd	C1	Bacteroides 1
3932_SG21R8_pl3C09_concatd	C1	Bacteroides 1
3932_SG21R8_pl3C11d	C1	Bacteroides 1
3932_SG21R8_pl3C12_concatd	C1	Bacteroides 1
3932_SG21R8_pl3D01_concatd	C1	Bacteroides 1
3932_SG21R8_pl3D02_concatd	C1	Bacteroides 1
3932_SG21R8_pl3D04_concatd	C1	Bacteroides 1
3932_SG21R8_pl3D05d	C1	Bacteroides 1
3932_SG21R8_pl3D06_concatd	C1	Bacteroides 1
3932_SG21R8_pl3D07_concatd	C1	Bacteroides 1
3932_SG21R8_pl3D08d	C1	Bacteroides 1
3932_SG21R8_pl3D09_concatd	C1	Bacteroides 1
3932_SG21R8_pl3D10_concatd	C1	Bacteroides 1
3932_SG21R8_pl3D11d	C1	Bacteroides 1
3932_SG21R8_pl3E02d	C1	Bacteroides 1
3932_SG21R8_pl3E03_concatd	C1	Bacteroides 1
3932_SG21R8_pl3E04_concatd	C1	Bacteroides 1
3932_SG21R8_pl3E06_concatd	C1	Bacteroides 1
3932_SG21R8_pl3E07_concatd	C1	Bacteroides 1
3932_SG21R8_pl3E08d	C1	Bacteroides 1
3932_SG21R8_pl3E09d	C1	Bacteroides 1
3932_SG21R8_pl3E10_concatd	C1	Bacteroides 1
3932_SG21R8_pl3E11d	C1	Bacteroides 1
3932_SG21R8_pl3E12_concatd	C1	Bacteroides 1
3932_SG21R8_pl3F02_concatd	C1	Bacteroides 1
3932_SG21R8_pl3F03_concatd	C1	Bacteroides 1
3932_SG21R8_pl3F04_concatd	C1	Bacteroides 1
3932_SG21R8_pl3F05d	C1	Bacteroides 1
3932_SG21R8_pl3F06d	C1	Bacteroides 1
3932_SG21R8_pl3F07_concatd	C1	Bacteroides 1
3932_SG21R8_pl3F08_concatd	C1	Bacteroides 1
3932_SG21R8_pl3F10_concatd	C1	Bacteroides 1
3932_SG21R8_pl3F11d	C1	Bacteroides 1
3932_SG21R8_pl3F12_concatd	C1	Bacteroides 1
3932_SG21R8_pl3G01_concatd	C1	Bacteroides 1
3932_SG21R8_pl3G02d	C1	Bacteroides 1
3932_SG21R8_pl3G03_concatd	C1	Bacteroides 1
3932_SG21R8_pl3G04_concatd	C1	Bacteroides 1
3932_SG21R8_pl3G05d	C1	Bacteroides 1
3932_SG21R8_pl3G08d	C1	Bacteroides 1
3932_SG21R8_pl3G09_concatd	C1	Bacteroides 1
3932_SG21R8_pl3G10_concatd	C1	Bacteroides 1
3932_SG21R8_pl3G11d	C1	Bacteroides 1
3932_SG21R8_pl3G12_concatd	C1	Bacteroides 1
3932_SG21R8_pl3H01d	C1	Bacteroides 1
3932_SG21R8_pl3H02_concatd	C1	Bacteroides 1
3932_SG21R8_pl3H03d	C1	Bacteroides 1
3932_SG21R8_pl3H04_concatd	C1	Bacteroides 1
3932_SG21R8_pl3H05_concatd	C1	Bacteroides 1
3932_SG21R8_pl3H06_concatd	C1	Bacteroides 1
3932_SG21R8_pl3H07d	C1	Bacteroides 1
3932_SG21R8_pl3H08_concatd	C1	Bacteroides 1
3932_SG21R8_pl3H09d	C1	Bacteroides 1
3932_SG21R8_pl3H10d	C1	Bacteroides 1
3932_SG21R8_pl3H11d	C1	Bacteroides 1
3932_SG21R8_pl4A01d	C1	Bacteroides 1
3932_SG21R8_pl4A02_concatd	C1	Bacteroides 1
3932_SG21R8_pl4A03_concatd	C1	Bacteroides 1
3932_SG21R8_pl4A04_concatd	C1	Bacteroides 1
3932_SG21R8_pl4A05d	C1	Bacteroides 1
3932_SG21R8_pl4A06_concatd	C1	Bacteroides 1
3932_SG21R8_pl4A07d	C1	Bacteroides 1
3932_SG21R8_pl4A08d	C1	Bacteroides 1
3932_SG21R8_pl4A09d	C1	Bacteroides 1
3932_SG21R8_pl4A10d	C1	Bacteroides 1
3932_SG21R8_pl4A11_concatd	C1	Bacteroides 1
3932_SG21R8_pl4B01d	C1	Bacteroides 1
3932_SG21R8_pl4B02_concatd	C1	Bacteroides 1
3932_SG21R8_pl4B04_concatd	C1	Bacteroides 1
3932_SG21R8_pl4B05d	C1	Bacteroides 1
3932_SG21R8_pl4B06d	C1	Bacteroides 1
3932_SG21R8_pl4B07d	C1	Bacteroides 1
3932_SG21R8_pl4B08d	C1	Bacteroides 1
3932_SG21R8_pl4B09d	C1	Bacteroides 1
3932_SG21R8_pl4B11_concatd	C1	Bacteroides 1
3932_SG21R8_pl4B12d	C1	Bacteroides 1
3932_SG21R8_pl4C01d	C1	Bacteroides 1
3932_SG21R8_pl4C02d	C1	Bacteroides 1
3932_SG21R8_pl4C03_concatd	C1	Bacteroides 1
3932_SG21R8_pl4C04d	C1	Bacteroides 1
3932_SG21R8_pl4C06d	C1	Bacteroides 1
3932_SG21R8_pl4C07_concatd	C1	Bacteroides 1
3932_SG21R8_pl4C09d	C1	Bacteroides 1
3932_SG21R8_pl4C10_concatd	C1	Bacteroides 1
3932_SG21R8_pl4C11_concatd	C1	Bacteroides 1
3932_SG21R8_pl4C12d	C1	Bacteroides 1
3932_SG21R8_pl4D01_concatd	C1	Bacteroides 1
3932_SG21R8_pl4D03d	C1	Bacteroides 1
3932_SG21R8_pl4D04d	C1	Bacteroides 1
3932_SG21R8_pl4D05_concatd	C1	Bacteroides 1
3932_SG21R8_pl4D06_concatd	C1	Bacteroides 1
3932_SG21R8_pl4D07_concatd	C1	Bacteroides 1
3932_SG21R8_pl4D08d	C1	Bacteroides 1
3932_SG21R8_pl4D09d	C1	Bacteroides 1
3932_SG21R8_pl4D10d	C1	Bacteroides 1
3932_SG21R8_pl4D11d	C1	Bacteroides 1
3932_SG21R8_pl4D12_concatd	C1	Bacteroides 1
3932_SG21R8_pl4E01_concatd	C1	Bacteroides 1
3932_SG21R8_pl4E03d	C1	Bacteroides 1
3932_SG21R8_pl4E04_concatd	C1	Bacteroides 1
3932_SG21R8_pl4E05_concatd	C1	Bacteroides 1
3932_SG21R8_pl4E06_concatd	C1	Bacteroides 1
3932_SG21R8_pl4E07_concatd	C1	Bacteroides 1
3932_SG21R8_pl4E08d	C1	Bacteroides 1
3932_SG21R8_pl4E09d	C1	Bacteroides 1
3932_SG21R8_pl4E10_concatd	C1	Bacteroides 1
3932_SG21R8_pl4E11_concatd	C1	Bacteroides 1
3932_SG21R8_pl4E12_concatd	C1	Bacteroides 1
3932_SG21R8_pl4F01_concatd	C1	Bacteroides 1
3932_SG21R8_pl4F02_concatd	C1	Bacteroides 1
3932_SG21R8_pl4F04_concatd	C1	Bacteroides 1
3932_SG21R8_pl4F05d	C1	Bacteroides 1
3932_SG21R8_pl4F07_concatd	C1	Bacteroides 1
3932_SG21R8_pl4F08d	C1	Bacteroides 1
3932_SG21R8_pl4F09_concatd	C1	Bacteroides 1
3932_SG21R8_pl4F10_concatd	C1	Bacteroides 1
3932_SG21R8_pl4F11_concatd	C1	Bacteroides 1
3932_SG21R8_pl4F12_concatd	C1	Bacteroides 1
3932_SG21R8_pl4G01_concatd	C1	Bacteroides 1
3932_SG21R8_pl4G02d	C1	Bacteroides 1
3932_SG21R8_pl4G03d	C1	Bacteroides 1
3932_SG21R8_pl4G04d	C1	Bacteroides 1
3932_SG21R8_pl4G05_concatd	C1	Bacteroides 1
3932_SG21R8_pl4G06_concatd	C1	Bacteroides 1
3932_SG21R8_pl4G07_concatd	C1	Bacteroides 1
3932_SG21R8_pl4G08_concatd	C1	Bacteroides 1
3932_SG21R8_pl4G09d	C1	Bacteroides 1
3932_SG21R8_pl4G10_concatd	C1	Bacteroides 1
3932_SG21R8_pl4G11d	C1	Bacteroides 1
3932_SG21R8_pl4G12_concatd	C1	Bacteroides 1
3932_SG21R8_pl4H01d	C1	Bacteroides 1
3932_SG21R8_pl4H02d	C1	Bacteroides 1
3932_SG21R8_pl4H03d	C1	Bacteroides 1
3932_SG21R8_pl4H04d	C1	Bacteroides 1
3932_SG21R8_pl4H05d	C1	Bacteroides 1
3932_SG21R8_pl4H06_concatd	C1	Bacteroides 1
3932_SG21R8_pl4H07d	C1	Bacteroides 1
3932_SG21R8_pl4H08d	C1	Bacteroides 1
3932_SG21R8_pl4H09_concatd	C1	Bacteroides 1
3932_SG21R8_pl4H10d	C1	Bacteroides 1
3932_SG21R8_pl4H11d	C1	Bacteroides 1
3932_SG21R8_pl4H12_concatd	C1	Bacteroides 1
3932_SG21R8_pl5A01d	C1	Bacteroides 1
3932_SG21R8_pl5A02_concatd	C1	Bacteroides 1
3932_SG21R8_pl5A03_concatd	C1	Bacteroides 1
3932_SG21R8_pl5A05d	C1	Bacteroides 1
3932_SG21R8_pl5A06d	C1	Bacteroides 1
3932_SG21R8_pl5A07_concatd	C1	Bacteroides 1
3932_SG21R8_pl5A09d	C1	Bacteroides 1
3932_SG21R8_pl5A10_concatd	C1	Bacteroides 1
3932_SG21R8_pl5A11d	C1	Bacteroides 1
3932_SG21R8_pl5A12_concatd	C1	Bacteroides 1
3932_SG21R8_pl5B01_concatd	C1	Bacteroides 1
3932_SG21R8_pl5B02d	C1	Bacteroides 1
3932_SG21R8_pl5B03_concatd	C1	Bacteroides 1
3932_SG21R8_pl5B06_concatd	C1	Bacteroides 1
3932_SG21R8_pl5B07d	C1	Bacteroides 1
3932_SG21R8_pl5B08_concatd	C1	Bacteroides 1
3932_SG21R8_pl5B10_concatd	C1	Bacteroides 1
3932_SG21R8_pl5B11_concatd	C1	Bacteroides 1
3932_SG21R8_pl5B12_concatd	C1	Bacteroides 1
3932_SG21R8_pl5C03_concatd	C1	Bacteroides 1
3932_SG21R8_pl5C04_concatd	C1	Bacteroides 1
3932_SG21R8_pl5C05_concatd	C1	Bacteroides 1
3932_SG21R8_pl5C06_concatd	C1	Bacteroides 1
3932_SG21R8_pl5C08_concatd	C1	Bacteroides 1
3932_SG21R8_pl5C09_concatd	C1	Bacteroides 1
3932_SG21R8_pl5C10_concatd	C1	Bacteroides 1
3932_SG21R8_pl5C11d	C1	Bacteroides 1
3932_SG21R8_pl5C12_concatd	C1	Bacteroides 1
3932_SG21R8_pl5D01_concatd	C1	Bacteroides 1
3932_SG21R8_pl5D02_concatd	C1	Bacteroides 1
3932_SG21R8_pl5D03d	C1	Bacteroides 1
3932_SG21R8_pl5D04_concatd	C1	Bacteroides 1
3932_SG21R8_pl5D05_concatd	C1	Bacteroides 1
3932_SG21R8_pl5D06d	C1	Bacteroides 1
3932_SG21R8_pl5D07d	C1	Bacteroides 1
3932_SG21R8_pl5D08_concatd	C1	Bacteroides 1
3932_SG21R8_pl5D09_concatd	C1	Bacteroides 1
3932_SG21R8_pl5D10_concatd	C1	Bacteroides 1
3932_SG21R8_pl5D11_concatd	C1	Bacteroides 1
3932_SG21R8_pl5D12_concatd	C1	Bacteroides 1
3932_SG21R8_pl5E01_concatd	C1	Bacteroides 1
3932_SG21R8_pl5E02_concatd	C1	Bacteroides 1
3932_SG21R8_pl5E03d	C1	Bacteroides 1
3932_SG21R8_pl5E05_concatd	C1	Bacteroides 1
3932_SG21R8_pl5E06_concatd	C1	Bacteroides 1
3932_SG21R8_pl5E07d	C1	Bacteroides 1
3932_SG21R8_pl5E08_concatd	C1	Bacteroides 1
3932_SG21R8_pl5E09_concatd	C1	Bacteroides 1
3932_SG21R8_pl5E11_concatd	C1	Bacteroides 1
3932_SG21R8_pl5E12_concatd	C1	Bacteroides 1
3932_SG21R8_pl5F01_concatd	C1	Bacteroides 1
3932_SG21R8_pl5F02_concatd	C1	Bacteroides 1
3932_SG21R8_pl5F03d	C1	Bacteroides 1
3932_SG21R8_pl5F04_concatd	C1	Bacteroides 1
3932_SG21R8_pl5F05d	C1	Bacteroides 1
3932_SG21R8_pl5F06_concatd	C1	Bacteroides 1
3932_SG21R8_pl5F07d	C1	Bacteroides 1
3932_SG21R8_pl5F08d	C1	Bacteroides 1
3932_SG21R8_pl5F09d	C1	Bacteroides 1
3932_SG21R8_pl5F11_concatd	C1	Bacteroides 1
3932_SG21R8_pl5F12d	C1	Bacteroides 1
3932_SG21R8_pl5G01d	C1	Bacteroides 1
3932_SG21R8_pl5G02_concatd	C1	Bacteroides 1
3932_SG21R8_pl5G03_concatd	C1	Bacteroides 1
3932_SG21R8_pl5G04d	C1	Bacteroides 1
3932_SG21R8_pl5G05_concatd	C1	Bacteroides 1
3932_SG21R8_pl5G06_concatd	C1	Bacteroides 1
3932_SG21R8_pl5G07_concatd	C1	Bacteroides 1
3932_SG21R8_pl5G08_concatd	C1	Bacteroides 1
3932_SG21R8_pl5G09d	C1	Bacteroides 1
3932_SG21R8_pl5G10d	C1	Bacteroides 1
3932_SG21R8_pl5G11d	C1	Bacteroides 1
3932_SG21R8_pl5G12_concatd	C1	Bacteroides 1
3932_SG21R8_pl5H01_concatd	C1	Bacteroides 1
3932_SG21R8_pl5H02d	C1	Bacteroides 1
3932_SG21R8_pl5H04d	C1	Bacteroides 1
3932_SG21R8_pl5H05_concatd	C1	Bacteroides 1
3932_SG21R8_pl5H06d	C1	Bacteroides 1
3932_SG21R8_pl5H07_concatd	C1	Bacteroides 1
3932_SG21R8_pl5H08_concatd	C1	Bacteroides 1
3932_SG21R8_pl5H09_concatd	C1	Bacteroides 1
3932_SG21R8_pl5H10d	C1	Bacteroides 1
3932_SG21R8_pl5H11d	C1	Bacteroides 1
3932_SG21R8_pl6A02d	C1	Bacteroides 1
3932_SG21R8_pl6A03_concatd	C1	Bacteroides 1
3932_SG21R8_pl6A04_concatd	C1	Bacteroides 1
3932_SG21R8_pl6A05_concatd	C1	Bacteroides 1
3932_SG21R8_pl6A06_concatd	C1	Bacteroides 1
3932_SG21R8_pl6A07d	C1	Bacteroides 1
3932_SG21R8_pl6A08_concatd	C1	Bacteroides 1
3932_SG21R8_pl6A09d	C1	Bacteroides 1
3932_SG21R8_pl6A10_concatd	C1	Bacteroides 1
3932_SG21R8_pl6A11d	C1	Bacteroides 1
3932_SG21R8_pl6A12_concatd	C1	Bacteroides 1
3932_SG21R8_pl6B01d	C1	Bacteroides 1
3932_SG21R8_pl6B02_concatd	C1	Bacteroides 1
3932_SG21R8_pl6B04d	C1	Bacteroides 1
3932_SG21R8_pl6B05d	C1	Bacteroides 1
3932_SG21R8_pl6B06_concatd	C1	Bacteroides 1
3932_SG21R8_pl6B07d	C1	Bacteroides 1
3932_SG21R8_pl6B08d	C1	Bacteroides 1
3932_SG21R8_pl6B09_concatd	C1	Bacteroides 1
3932_SG21R8_pl6B10d	C1	Bacteroides 1
3932_SG21R8_pl6B11d	C1	Bacteroides 1
3932_SG21R8_pl6B12_concatd	C1	Bacteroides 1
3932_SG21R8_pl6C01d	C1	Bacteroides 1
3932_SG21R8_pl6C03d	C1	Bacteroides 1
3932_SG21R8_pl6C04_concatd	C1	Bacteroides 1
3932_SG21R8_pl6C05_concatd	C1	Bacteroides 1
3932_SG21R8_pl6C06_concatd	C1	Bacteroides 1
3932_SG21R8_pl6C08d	C1	Bacteroides 1
3932_SG21R8_pl6C09d	C1	Bacteroides 1
3932_SG21R8_pl6C10d	C1	Bacteroides 1
3932_SG21R8_pl6C11d	C1	Bacteroides 1
3932_SG21R8_pl6C12_concatd	C1	Bacteroides 1
3932_SG21R8_pl6D01_concatd	C1	Bacteroides 1
3932_SG21R8_pl6D02_concatd	C1	Bacteroides 1
3932_SG21R8_pl6D03_concatd	C1	Bacteroides 1
3932_SG21R8_pl6D04_concatd	C1	Bacteroides 1
3932_SG21R8_pl6D05_concatd	C1	Bacteroides 1
3932_SG21R8_pl6D06d	C1	Bacteroides 1
3932_SG21R8_pl6D07_concatd	C1	Bacteroides 1
3932_SG21R8_pl6D08d	C1	Bacteroides 1
3932_SG21R8_pl6D09d	C1	Bacteroides 1
3932_SG21R8_pl6D10_concatd	C1	Bacteroides 1
3932_SG21R8_pl6D11_concatd	C1	Bacteroides 1
3932_SG21R8_pl6D12d	C1	Bacteroides 1
3932_SG21R8_pl6E02_concatd	C1	Bacteroides 1
3932_SG21R8_pl6E04d	C1	Bacteroides 1
3932_SG21R8_pl6E05_concatd	C1	Bacteroides 1
3932_SG21R8_pl6E06_concatd	C1	Bacteroides 1
3932_SG21R8_pl6E07_concatd	C1	Bacteroides 1
3932_SG21R8_pl6E08_concatd	C1	Bacteroides 1
3932_SG21R8_pl6E09_concatd	C1	Bacteroides 1
3932_SG21R8_pl6E10_concatd	C1	Bacteroides 1
3932_SG21R8_pl6E11_concatd	C1	Bacteroides 1
3932_SG21R8_pl6E12_concatd	C1	Bacteroides 1
3932_SG21R8_pl6F01_concatd	C1	Bacteroides 1
3932_SG21R8_pl6F03_concatd	C1	Bacteroides 1
3932_SG21R8_pl6F05_concatd	C1	Bacteroides 1
3932_SG21R8_pl6F06_concatd	C1	Bacteroides 1
3932_SG21R8_pl6F07d	C1	Bacteroides 1
3932_SG21R8_pl6F08_concatd	C1	Bacteroides 1
3932_SG21R8_pl6F09d	C1	Bacteroides 1
3932_SG21R8_pl6F10d	C1	Bacteroides 1
3932_SG21R8_pl6F11d	C1	Bacteroides 1
3932_SG21R8_pl6F12d	C1	Bacteroides 1
3932_SG21R8_pl6G01_concatd	C1	Bacteroides 1
3932_SG21R8_pl6G02d	C1	Bacteroides 1
3932_SG21R8_pl6G04_concatd	C1	Bacteroides 1
3932_SG21R8_pl6G05_concatd	C1	Bacteroides 1
3932_SG21R8_pl6G06_concatd	C1	Bacteroides 1
3932_SG21R8_pl6G07_concatd	C1	Bacteroides 1
3932_SG21R8_pl6G08_concatd	C1	Bacteroides 1
3932_SG21R8_pl6G10d	C1	Bacteroides 1
3932_SG21R8_pl6G11_concatd	C1	Bacteroides 1
3932_SG21R8_pl6G12d	C1	Bacteroides 1
3932_SG21R8_pl6H02_concatd	C1	Bacteroides 1
3932_SG21R8_pl6H03d	C1	Bacteroides 1
3932_SG21R8_pl6H04_concatd	C1	Bacteroides 1
3932_SG21R8_pl6H05d	C1	Bacteroides 1
3932_SG21R8_pl6H06_concatd	C1	Bacteroides 1
3932_SG21R8_pl6H07d	C1	Bacteroides 1
3932_SG21R8_pl6H08_concatd	C1	Bacteroides 1
3932_SG21R8_pl6H09d	C1	Bacteroides 1
3932_SG21R8_pl6H10_concatd	C1	Bacteroides 1
3932_SG21R8_pl6H11_concatd	C1	Bacteroides 1
3932_SG21R8_pl7A01d	C1	Bacteroides 1
3932_SG21R8_pl7A02d	C1	Bacteroides 1
3932_SG21R8_pl7A03d	C1	Bacteroides 1
3932_SG21R8_pl7A04d	C1	Bacteroides 1
3932_SG21R8_pl7A05_concatd	C1	Bacteroides 1
3932_SG21R8_pl7A06d	C1	Bacteroides 1
3932_SG21R8_pl7A07d	C1	Bacteroides 1
3932_SG21R8_pl7A09_concatd	C1	Bacteroides 1
3932_SG21R8_pl7A10d	C1	Bacteroides 1
3932_SG21R8_pl7A11_concatd	C1	Bacteroides 1
3932_SG21R8_pl7A12d	C1	Bacteroides 1
3932_SG21R8_pl7B01_concatd	C1	Bacteroides 1
3932_SG21R8_pl7B02_concatd	C1	Bacteroides 1
3932_SG21R8_pl7B03_concatd	C1	Bacteroides 1
3932_SG21R8_pl7B04d	C1	Bacteroides 1
3932_SG21R8_pl7B05_concatd	C1	Bacteroides 1
3932_SG21R8_pl7B08d	C1	Bacteroides 1
3932_SG21R8_pl7B09_concatd	C1	Bacteroides 1
3932_SG21R8_pl7B10d	C1	Bacteroides 1
3932_SG21R8_pl7B11d	C1	Bacteroides 1
3932_SG21R8_pl7B12_concatd	C1	Bacteroides 1
3932_SG21R8_pl7C01_concatd	C1	Bacteroides 1
3932_SG21R8_pl7C03d	C1	Bacteroides 1
3932_SG21R8_pl7C04d	C1	Bacteroides 1
3932_SG21R8_pl7C05d	C1	Bacteroides 1
3932_SG21R8_pl7C06_concatd	C1	Bacteroides 1
3932_SG21R8_pl7C07_concatd	C1	Bacteroides 1
3932_SG21R8_pl7C08_concatd	C1	Bacteroides 1
3932_SG21R8_pl7C09d	C1	Bacteroides 1
3932_SG21R8_pl7C10_concatd	C1	Bacteroides 1
3932_SG21R8_pl7C11_concatd	C1	Bacteroides 1
3932_SG21R8_pl7D01d	C1	Bacteroides 1
3932_SG21R8_pl7D02d	C1	Bacteroides 1
3932_SG21R8_pl7D03d	C1	Bacteroides 1
3932_SG21R8_pl7D04d	C1	Bacteroides 1
3932_SG21R8_pl7D05d	C1	Bacteroides 1
3932_SG21R8_pl7D06d	C1	Bacteroides 1
3932_SG21R8_pl7D07_concatd	C1	Bacteroides 1
3932_SG21R8_pl7D08_concatd	C1	Bacteroides 1
3932_SG21R8_pl7D09d	C1	Bacteroides 1
3932_SG21R8_pl7D10_concatd	C1	Bacteroides 1
3932_SG21R8_pl7D11d	C1	Bacteroides 1
3932_SG21R8_pl7D12d	C1	Bacteroides 1
3932_SG21R8_pl7E01d	C1	Bacteroides 1
3932_SG21R8_pl7E02d	C1	Bacteroides 1
3932_SG21R8_pl7E03d	C1	Bacteroides 1
3932_SG21R8_pl7E04_concatd	C1	Bacteroides 1
3932_SG21R8_pl7E05d	C1	Bacteroides 1
3932_SG21R8_pl7E06_concatd	C1	Bacteroides 1
3932_SG21R8_pl7E07_concatd	C1	Bacteroides 1
3932_SG21R8_pl7E08_concatd	C1	Bacteroides 1
3932_SG21R8_pl7E09d	C1	Bacteroides 1
3932_SG21R8_pl7E10_concatd	C1	Bacteroides 1
3932_SG21R8_pl7E11d	C1	Bacteroides 1
