ID	cluster_DMM_4	cluster_DMM_4_lab
3797_485_SG21R2_Pl6E01d	C1	Bacteroides 1
3797_486_SG21R2_Pl6F01_concatd	C1	Bacteroides 1
3797_488_SG21R2_Pl6H01_concatd	C1	Bacteroides 1
3797_489_SG21R2_Pl6A02_concatd	C1	Bacteroides 1
3797_490_SG21R2_Pl6B02_concatd	C1	Bacteroides 1
3797_492_SG21R2_Pl6D02_concatd	C1	Bacteroides 1
3797_495_SG21R2_Pl6G02_concatd	C1	Bacteroides 1
3797_496_SG21R2_Pl6H02_concatd	C1	Bacteroides 1
3797_497_SG21R2_Pl6A03_concatd	C1	Bacteroides 1
3797_498_SG21R2_Pl6B03_concatd	C1	Bacteroides 1
3797_499_SG21R2_Pl6C03d	C1	Bacteroides 1
3797_500_SG21R2_Pl6D03_concatd	C1	Bacteroides 1
3797_501_SG21R2_Pl6E03d	C1	Bacteroides 1
3797_502_SG21R2_Pl6F03_concatd	C1	Bacteroides 1
3797_503_SG21R2_Pl6G03d	C1	Bacteroides 1
3797_504_SG21R2_Pl6H03_concatd	C1	Bacteroides 1
3797_505_SG21R2_Pl6A04d	C1	Bacteroides 1
3797_506_SG21R2_Pl6B04d	C1	Bacteroides 1
3797_507_SG21R2_Pl6C04_concatd	C1	Bacteroides 1
3797_509_SG21R2_Pl6E04d	C1	Bacteroides 1
3797_510_SG21R2_Pl6F04_concatd	C1	Bacteroides 1
3797_511_SG21R2_Pl6G04d	C1	Bacteroides 1
3797_512_SG21R2_Pl6H04_concatd	C1	Bacteroides 1
3797_513_SG21R2_Pl6A05_concatd	C1	Bacteroides 1
3797_514_SG21R2_Pl6B05_concatd	C1	Bacteroides 1
3797_515_SG21R2_Pl6C05d	C1	Bacteroides 1
3797_516_SG21R2_Pl6D05d	C1	Bacteroides 1
3797_518_SG21R2_Pl6F05_concatd	C1	Bacteroides 1
3797_519_SG21R2_Pl6G05d	C1	Bacteroides 1
3797_520_SG21R2_Pl6H05d	C1	Bacteroides 1
