#mpa_vJun23_CHOCOPhlAnSGB_202307						
clade_name	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	0.277986101	0	0	0.643545502	0.018083245	0.534809735
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.224880398	1.783075176	0.146024699	0	0.784265296	0.638922548
k__Bacteria|p__Bacteroidota|c__CFGB667|o__OFGB667	0.130193423	0	0	0	0	0.029758236
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062	0.119798106	0	0	0	1.106589474	0.024307876
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069	0.118827627	0	0	0	0.201117828	0.0091052
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	0.102796069	0	0	0	0.203746496	0
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	0.071143539	0	0.038547014	0	0.062532517	0.053546597
k__Bacteria|p__Bacteroidota|c__CFGB602|o__OFGB602	0.059889721	0	0	0	0.018291555	0
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217	0.057584835	0.341083679	0.073333818	0	0.171597401	0
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	0.054178829	0	0	0	0.807199176	0
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	0.047954702	0.049775458	0.107594583	0	0.165536588	0.053418996
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0.040620124	1.537042728	0.235782642	0	0.385293154	0.155645146
k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988	0.03336953	1.833176025	0	0.915390836	0.048496427	0
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924	0.020762641	0	0	0	0.064377544	0.169781447
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	0.018775026	0.053047958	0	0.332380644	0	0.134663994
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.016414151	1.644031143	0.85116131	0	0.924080625	0.191865431
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	0.013073465	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	0.012700204	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB79291|o__OFGB79291	0.011085851	0.084341232	0.098778549	0	0.007647933	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.010320666	0	0	0	0	0.016642738
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	0.005225653	0	0	0	0.04686963	0
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	0.00434849	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211	0.000625212	0	0	0	0.000932433	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	25.38262254	35.79635467	16.98206848	34.92198135	24.37199907	24.13907917
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	12.40964855	2.18441189	21.11937974	11.39377467	2.570518956	16.74245765
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	5.913993331	2.496628778	12.11996231	0	8.051904775	0.224294161
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765	4.217652902	0	3.897135212	2.585523027	2.431983242	3.970824203
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	3.427515436	8.20613603	5.045450452	4.740047416	3.924718947	4.419941155
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	3.011152165	0	0.281781883	4.267315422	0.40455682	0.510556545
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2.891503364	2.29986046	3.665219935	3.632148509	3.004665639	3.092960791
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2.249195901	0.684500873	2.277059858	0.304771196	0.408157597	1.796285522
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	1.999297688	1.850737819	1.258306226	1.239682151	3.607781056	2.047111452
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis	1.850814477	0.261232836	0.253132208	3.115797977	1.088139207	0
k__Bacteria|p__Firmicutes|c__CFGB10312|o__OFGB10312|f__FGB10312	1.776563541	0	0	0	0.339365877	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	1.378853986	4.169489524	0	1.483509082	0.009413604	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1.315474275	0.182395353	0.641222799	0.03561898	0.003372629	0.110766262
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936	0.696962199	0	0	0	1.657796157	0.936805682
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	0.626751812	1.546488351	0.02134357	0.747888866	0	0.510310458
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.614919439	0.954286833	2.04262154	0.639485876	0.874413696	0.582085684
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.483494255	0.71888071	0.106104137	0.172239863	0.784850546	1.445566707
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	0.436519363	0.255422291	0.946900519	0.08644909	0.135976483	0.573071627
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.401918072	1.045888923	0.703451337	0.593752741	0.258085507	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.383656279	0	3.239381131	0	0.929486751	1.646382395
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670|f__FGB1670	0.319772666	0	0	0.446708494	0	0.083787891
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.31918478	0.083021077	0.627243784	0.032995684	0.006755178	1.063057164
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	0.277986101	0	0	0.643545502	0.018083245	0.534809735
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	0.275737204	1.492891877	0.32953459	0.518923956	1.341225287	1.664547223
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	0.266135066	0.870261694	0.453602006	0	0.383844907	0.261972736
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.224880398	1.783075176	0.146024699	0	0.784265296	0.638922548
k__Bacteria|p__Bacteroidota|c__CFGB667|o__OFGB667|f__FGB667	0.130193423	0	0	0	0	0.029758236
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062|f__FGB3062	0.119798106	0	0	0	1.106589474	0.024307876
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069|f__FGB3069	0.118827627	0	0	0	0.201117828	0.0091052
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721|f__FGB75721	0.102796069	0	0	0	0.203746496	0
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226	0.071143539	0	0.038547014	0	0.062532517	0.053546597
k__Bacteria|p__Bacteroidota|c__CFGB602|o__OFGB602|f__FGB602	0.059889721	0	0	0	0.018291555	0
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217|f__FGB1217	0.057584835	0.341083679	0.073333818	0	0.171597401	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	0.05541059	0.188382539	0.139342047	0	0.245537342	0.054129913
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477|f__FGB10477	0.054178829	0	0	0	0.807199176	0
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023|f__FGB3023	0.047954702	0.049775458	0.107594583	0	0.165536588	0.053418996
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	0.047394811	0.012336951	0	1.067851243	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	0.040620124	1.537042728	0.235782642	0	0.385293154	0.155645146
k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988|f__FGB77988	0.03336953	1.833176025	0	0.915390836	0.048496427	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.029478284	0	0	0	0.044310399	0
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924|f__FGB72924	0.020762641	0	0	0	0.064377544	0.169781447
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292|f__FGB1292	0.018775026	0.053047958	0	0.332380644	0	0.134663994
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0.016414151	1.644031143	0.85116131	0	0.924080625	0.191865431
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038|f__FGB3038	0.013073465	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992	0.012700204	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB79291|o__OFGB79291|f__FGB79291	0.011085851	0.084341232	0.098778549	0	0.007647933	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.010320666	0	0	0	0	0.016642738
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359	0.005225653	0	0	0	0.04686963	0
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503|f__FGB45503	0.00434849	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211|f__FGB1211	0.000625212	0	0	0	0.000932433	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium	9.893375098	8.815220669	3.082484947	14.33410104	7.301732795	11.65023556
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	6.225292972	1.350789173	9.036824686	7.822261213	0.70589134	11.58640801
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	6.184346245	0.833622717	12.08255505	3.571523429	1.690401548	5.156049636
